Year,Rank,Name,Age,Exp,G,Rsh,RshYd,RshTD,Rec,RecYd,Y/Rec,RecTD,FP/G,FantPt,Team
2001,14,Az-Zahir Hakim,24.0,4.0,7,11,50,0,18,125,6.9,2,7.6,53.5,STL
2001,15,James McKnight,29.0,8.0,6,6,39,0,21,237,11.3,0,8.1,48.6,MIA
2001,16,Rod Smith,31.0,7.0,2,3,27,0,18,201,11.2,1,23.4,46.8,DEN
2001,17,Eric Moulds,28.0,6.0,3,3,3,0,13,200,15.4,2,15.1,45.3,BUF
2001,18,Isaac Bruce,29.0,8.0,4,4,23,0,14,220,15.7,0,9.6,38.3,STL
2001,19,Travis Taylor,22.0,2.0,5,5,46,0,13,181,13.9,0,7.1,35.7,BAL
2001,20,Raghib Ismail,32.0,9.0,6,8,31,0,14,175,12.5,0,5.8,34.6,DAL
2001,21,Joey Galloway,30.0,7.0,3,3,32,0,10,143,14.3,1,11.2,33.5,DAL
2001,22,Amani Toomer,27.0,6.0,3,3,8,0,11,154,14.0,1,11.1,33.2,NYG
2001,23,Larry Parker,25.0,2.0,3,3,6,0,7,120,17.1,2,10.5,31.6,KC
2001,24,Dennis Northcutt,24.0,2.0,3,3,26,0,12,123,10.3,0,9.0,26.9,CLE
2001,25,Todd Pinkston,24.0,2.0,1,1,5,0,4,90,22.5,2,25.5,25.5,PHI
2001,26,Eddie Kennison,28.0,6.0,5,5,22,0,8,130,16.3,0,4.6,23.2,
2001,27,Johnnie Morton,30.0,8.0,1,1,6,0,8,86,10.8,1,23.2,23.2,DET
2001,28,Torry Holt,25.0,3.0,2,2,0,0,11,114,10.4,0,11.2,22.4,STL
2001,29,Tim Dwight,26.0,4.0,2,2,24,1,3,96,32.0,0,10.5,21.0,SD
2001,30,Bill Schroeder,30.0,5.0,1,1,6,0,4,104,26.0,1,21.0,21.0,GB
2001,31,Joe Horn,29.0,6.0,2,1,4,0,10,93,9.3,0,9.8,19.7,NO
2001,32,Ricky Proehl,33.0,12.0,1,1,5,0,4,31,7.8,2,19.6,19.6,STL
2001,33,Derrick Alexander,30.0,8.0,2,2,16,0,5,122,24.4,0,9.4,18.8,KC
2001,34,Desmond Howard,31.0,10.0,4,5,25,0,3,59,19.7,1,4.4,17.4,DET
2001,35,Koren Robinson,21.0,1.0,3,4,13,0,7,91,13.0,0,5.8,17.4,SEA
